Open,High,Low,Close,Volume,Dividends,Stock Splits,Price Change %,Target
125.43161455867813,127.18127564102066,123.64241984503863,124.90770721435547,89113600,0.0,0.0,0.0103142514333594,1
125.66884126386319,126.30148488412831,123.32608545003059,123.58309173583984,80962700,0.0,0.0,-0.010604753766254249,0
124.5617315121944,128.79253144434853,123.45460129199294,128.13023376464844,87754700,0.0,0.0,0.03679420837381353,1
128.9704583829939,131.87667022454877,128.39712274020837,128.6541290283203,70790800,0.0,0.0,0.004088771621490794,1
128.76287866678214,129.75138537718297,126.64747490986099,129.22747802734375,63896200,0.0,0.0,0.004456514558481173,1
129.7415193359335,131.97553930551643,128.9606055895864,131.95578002929688,69458900,0.0,0.0,0.021112398412478806,1
132.3412931209229,132.71691544226815,129.9293341536629,131.87669372558594,71379600,0.0,0.0,-0.0005993394430572341,0
130.51251723414498,133.369300530634,130.14677464113623,133.2111358642578,57809700,0.0,0.0,0.010118862559965525,1
133.2803661632613,135.7120843078782,132.58841445883436,134.3776092529297,63646600,0.0,0.0,0.008756575650405996,1
135.24748690824802,137.01690717262807,133.47805156045354,133.65599060058594,69672800,0.0,0.0,-0.005370081045165009,0
132.53897616267878,134.68403382720132,132.23254150823482,133.71530151367188,58280400,0.0,0.0,0.00044375798510354336,1
133.72520185575365,136.43371598175548,132.6773870363522,136.28543090820312,80223600,0.0,0.0,0.019220907147028843,1
136.5325341153351,141.67278077878365,136.31506144495467,139.48817443847656,81760300,0.0,0.0,0.02350026344657996,1
138.6973598255773,141.51460969317372,138.68748018952127,140.891845703125,66435100,0.0,0.0,0.010063012655367132,1
139.27068541615571,140.7929788466698,137.21459000886787,140.2295379638672,65799300,0.0,0.0,-0.004700823784034802,0
141.52447606882814,142.59206491599028,140.26906857030244,142.30540466308594,54105100,0.0,0.0,0.014803348348431777,1
141.51460940098116,145.5378234459024,141.43552706245464,144.2527618408203,70555800,0.0,0.0,0.013684351499824166,1
143.29392490593287,143.87714018615392,141.208175354279,141.3564453125,64015300,0.0,0.0,-0.020078066384034532,0
141.05988522159177,142.68103540109175,140.64471427014323,142.63160705566406,65874500,0.0,0.0,0.009020895653855998,1
142.31530314667881,144.92496009089808,139.69576656602072,143.75851440429688,77663600,0.0,0.0,0.007900824872519419,1
147.18864741549214,149.44244157391893,146.46704171932092,149.0865936279297,118339000,0.0,0.0,0.0370627036994029,1
146.32864922602454,155.57119313377925,146.13095089780094,152.7242889404297,154357300,0.0,0.0,0.02439988213546873,1
150.8164562342184,151.34036351523568,149.0470210083263,149.98609924316406,69858300,0.0,0.0,-0.017928973290775363,0
148.90863720361276,153.44587898676582,148.90863720361276,152.87254333496094,83322600,0.0,0.0,0.019244744055362473,1
152.1114301464605,152.80338188493596,149.4325701004995,150.1739501953125,64120100,0.0,0.0,-0.017652569132283746,0
152.0125441621068,152.55622581029445,148.69116137357645,149.135986328125,56007100,0.0,0.0,-0.006911743786705671,0
147.9678065326758,149.82902644753565,147.73019724066455,149.5023193359375,57450700,0.23,0.0,0.002456368961187616,1
149.44290943263957,152.71985991539307,149.41321016170093,152.31396484375,62199000,0.0,0.0,0.01880670159701414,1
150.60120648274088,152.2347417014366,149.35379194828116,151.67042541503906,61707600,0.0,0.0,-0.004225084872362839,0
151.58135329250317,153.94749097395436,151.35365383790918,153.77919006347656,65573800,0.0,0.0,0.013903598164684894,1
151.97733873436857,154.76919088525318,151.8189476677602,152.17535400390625,68167900,0.0,0.0,-0.010429473967890512,0
150.8289315997935,151.47243590583543,149.34390771836374,151.0269317626953,59144100,0.0,0.0,-0.007546703266952504,0
148.7004026088836,149.78942626925934,146.92828058675818,146.99757385253906,58867200,0.0,0.0,-0.0266797309799518,0
147.3836697109664,148.4528887502369,145.69075089528818,147.42327880859375,51011300,0.0,0.0,0.0028959998787581043,1
148.591484366889,148.83898834448985,145.7699480861059,147.9083709716797,48394200,0.0,0.0,0.0032904719458570764,1
145.64123957502227,145.720442659753,144.26511807901926,145.2452392578125,55469600,0.0,0.0,-0.018005280542080393,0
146.23523564162863,147.68065020234755,145.97782187399574,146.44313049316406,44998500,0.0,0.0,0.0082473700444341,1
145.58185657335414,147.59158785522064,145.36405184371336,145.93826293945312,50547000,0.0,0.0,-0.0034475331960655,0
145.3640509605452,145.76005131760687,143.56221459109048,143.85922241210938,55479000,0.0,0.0,-0.014246027638456282,0
142.93850860687647,145.24524759786468,142.46329007120497,144.45323181152344,52238100,0.0,0.0,0.004129101975210325,1
146.56195681168307,149.6013130753249,145.85905393614254,149.52210998535156,70732300,0.0,0.0,0.0350900987832643,1
152.25454983701871,154.73949959731118,151.92785785960842,152.29415893554688,87558000,0.0,0.0,0.018539391602130806,1
152.16546570634722,152.49217281957698,149.62113228238874,150.08644104003906,56182000,0.0,0.0,-0.014496405580742944,0
151.28432094793195,151.93773504020743,150.31410963622918,151.34371948242188,47204800,0.0,0.0,0.008377028821993315,1
152.02685072996366,152.99706215582498,148.73009571987657,149.0865020751953,53833600,0.0,0.0,-0.014914509931076014,0
148.7102983763868,149.43300577006005,146.13625093512175,147.01736450195312,68572400,0.0,0.0,-0.013878772017862251,0
146.33425116280637,151.6110378452132,146.2253488070177,148.9676971435547,84457100,0.0,0.0,0.013266001932551674,1
149.7696098588517,151.86843881288326,148.60139830336453,151.0665283203125,73695900,0.0,0.0,0.014089169779776034,1
149.6804929323757,151.71992308668965,148.42316862217967,151.4625244140625,77167900,0.0,0.0,0.0026213357661224457,1
